Year|Paper ID|Research Object|Property Instance
2016|Abukwaik2016|Architecture Analysis Method|Accuracy
2016|Agrawal2016|Architecture Optimization Method|Feasibility,Performance
2016|Agrawal2016|Architecture pattern|Performance
2016|Alshara2016|Architecture Analysis Method|none
2016|Cavalcante2016|Architecture Description Language|Performance
2016|Gerostathopoulos2016|Architecture Optimization Method|Performance
2016|Kapto2016|Architecture Analysis Method|Effectiveness,none
2016|Mesli-Kesraoui2016|Architecture Analysis Method|Completeness,none
2016|Oquendo2016|Architecture Description Language|Feasibility,Usefulness
2016|Schmerl2016|Architecture Description|Performance,Usability
2016|Schriek2016|Architecture Optimization Method|Effectiveness
2016|Schroeder2016|Architecture Design Method|Applicability,Feasibility
2017|Bhat2017|Architecture Analysis Method|Accuracy,Precision
2017|Camara2017|Architecture Analysis Method|Effectiveness,Performance
2017|Digkas2017|Architecture Evolution|Complexity,Cost savings,Technical Debt
2017|Filho2017|Architecture Description Language|Effectiveness,Usability
2017|Haselboeck2017|Architecture Decision Making|none
2017|Nguyen2017|Architecture Analysis Method|Feasibility
2017|Sharaf2017|Architecture Design Method|Effectiveness
2017|Yang2017|Architectural Assumptions|Usefulness
2017|Zalewski2017|Architecture Decision Making|Effectiveness
2018|Alkhabbas2018|Architecture Description|Feasibility,Performance
2018|Antonino2018|Architecture Design Method|Feasibility
2018|Arcaini2018|Architecture Analysis Method|Feasibility
2018|Arcaini2018|Architecture Description Language|Completeness
2018|Avritzer2018|Architecture Analysis Method|Scalability
2018|Buchgeher2018|Architecture Analysis Method|Performance,Scalability,Trustworthiness
2018|Buchgeher2018|Architecture Extraction|Performance,Scalability,Trustworthiness
2018|Christensen2018|Teaching|Usefulness
2018|Heijenk2018|Architecture Decision Making|Completeness,Productivity
2018|Martini2018|Architectural Aspects|Technical Debt,Usefulness
2018|Oquendo2018|Architecture Description Language|Applicability,Usefulness
2018|Power2018|Architecture Design Method|Applicability,Completeness,Feasibility,Usefulness
2018|Schneider2018|Architecture Evolution|Feasibility
2018|Spray2018|Reference Architecture|Feasibility
2018|Tuma2018|Architecture Analysis Method|Precision,Productivity
2018|Weyns2018|Architecture Analysis Method|Adaptability,Effectiveness,Performance 
2019|Castellanos2019|Architecture Design Method|Productivity
2019|Castellanos2019|Architecture Evolution|Productivity
2019|Malakuti2019|Architecture pattern|Feasibility
2019|Malki2019|Architecture Decision Making|Uncertainty Reduction
2019|Mattos2019|Architecture Optimization Method|Effectiveness
2019|Mayrhofer2019|Reference architecture|Adaptability
2019|Musil2019|Architecture Analysis Method|Applicability,Usefulness
2019|Ntentos2019|Architecture pattern|Accuracy,Completeness
2019|Nunes2019|Architectural Aspects|Accuracy
2019|Pigazzini2019a|Architecture Analysis Method|Precision
2019|Pigazzini2019a|Architecture Evolution|Applicability
2019|Power2019|Architecture Design Method|Feasibility
2019|Sanctis2019|Architecture Design Method|Effectiveness,Scalability
2019|Soezer2019|Architectural Aspects|Accuracy,Performance
2019|Waegemann2019|Architecture Design Method|Feasibility
2019|Waegemann2019|Architecture Optimization Method|Feasibility
2019|Wu2018|Architecture Evolution|Productivity
2019|Yasaweerasinghelage2019|Architecture Optimization Method|Feasibility
2020|Aerts2020|Teaching|Trustworthiness
2020|Almeida2020|Architecture Evolution|Complexity
2020|Almeida2020|Architecture Optimization Method|Applicability,Effectiveness
2020|Capilla2020|Teaching|Productivity
2020|Caporuscio2020a|Architecture Description|Effectiveness
2020|Caporuscio2020b|Architecture Design Method|Effectiveness,Productivity
2020|Chondamrongkul2020|Architecture Description Language|Accuracy,Performance
2020|Cruz2020|Architecture Analysis Method|Feasibility
2020|Dias2020|Architecture Description Language|Feasibility,Performance,Usability
2020|Giaimo2020|Quality Evolution|Effectiveness ,Feasibility
2020|Islam2020|Reference Architecture|Accuracy,Complexity,Performance,Usability
2020|Koziolek2020|Architecture Design Method|Availability,Extensibility,Performance,Scalability,Security,Usability
2020|Malakuti2020|Technical Dept|none
2020|Matias2020|Architecture Design Method|Feasibility
2020|Moghaddam2020|Architecture Optimization Method|Performance
2020|Ntentos2020|Architecture Analysis Method|Accuracy,Complexity,Modularization
2020|Sanctis2020|Reference Architecture|Adaptability,Performance
2020|Verdecchia2020|Architecture Evolution|none
2020|Verdecchia2020|Technical Dept|Technical Debt
2020|Werle2020|Architecture Design Method|Feasibility
