Year|Paper ID|Threats to Validity
2016|Abukwaik2016|Selection Bias, Generalizability, Evaluator Bias
2016|Agrawal2016|none
2016|Alshara2016|none
2016|Cavalcante2016|none
2016|Gerostathopoulos2016|Generalizability
2016|Kapto2016|Internal Validity, External Validity
2016|Kapto2016|none
2016|Mesli-Kesraoui2016|Construct Validity, Internal Validity, External Validity, Reliability
2016|Oquendo2016|none
2016|Schmerl2016|none
2016|Schriek2016|Reliability
2016|Schriek2016|Selection Bias
2016|Schroeder2016|Selection Bias, Measurement Bias
2017|Bhat2017|Selection Bias, Generalizability
2017|Camara2017|none
2017|Digkas2017|Construct Validity, External Validity, Reliability
2017|Filho2017|Construct Validity, External Validity, Reliability
2017|Haselboeck2017|Confirmability, Dependability, Internal Consistency, Transferability
2017|Nguyen2017|none
2017|Sharaf2017|none
2017|Yang2017|Construct Validity
2017|Yang2017|Evaluator Bias
2017|Yang2017|Selection Bias
2017|Zalewski2017|Generalizability
2018|Alkhabbas2018|none
2018|Antonino2018|none
2018|Arcaini2018|none
2018|Avritzer2018|Subject Bias, Evaluator Bias, Selection Bias
2018|Buchgeher2018|Internal Validity, External Validity
2018|Christensen2018|none
2018|Heijenk2018|Construct Validity, Internal Validity, External Validity, Reliability
2018|Martini2018|Construct Validity, Internal Validity, External Validity, Reliability
2018|Oquendo2018|none
2018|Power2018|Construct Validity, Internal Validity, External Validity, Reliability, Repeatability
2018|Schneider2018|none
2018|Spray2018|none
2018|Tuma2018|Selection Bias, Measurement Bias
2018|Weyns2018|none
2019|Castellanos2019|Construct Validity, Internal Validity, External Validity, Reliability
2019|Malakuti2019|none
2019|Malki2019|Selection Bias, Measurement Bias, Generalizability
2019|Mattos2019|Selection Bias
2019|Mayrhofer2019|none
2019|Musil2019|Internal Validity, External Validity
2019|Ntentos2019|Internal Validity, External Validity, Selection Bias, Evaluator Bias, Generalizability
2019|Nunes2019|none
2019|Pigazzini2019a|none
2019|Power2019|Construct Validity, Internal Validity, External Validity, Reliability
2019|Sanctis2019|Internal Validity, Generalizability
2019|Soezer2019|Subject Bias
2019|Waegemann2019|none
2019|Wu2018|none
2019|Yasaweerasinghelage2019|none
2020|Aerts2020|none
2020|Almeida2020|Internal Validity, External Validity
2020|Capilla2020|none
2020|Caporuscio2020a|Internal Validity, External Validity
2020|Caporuscio2020b|none
2020|Chondamrongkul2020|none
2020|Cruz2020|Subject Bias, Selection Bias
2020|Dias2020|none
2020|Giaimo2020|Selection Bias
2020|Islam2020|none
2020|Koziolek2020|none
2020|Malakuti2020|none
2020|Matias2020|Subject Bias, Selection Bias, Measurement Bias
2020|Moghaddam2020|none
2020|Ntentos2020|Internal Validity, External Validity, Selection Bias, Evaluator Bias, Measurement Bias
2020|Sanctis2020|Selection Bias
2020|Verdecchia2020|Construct Validity
2020|Werle2020|none
